PATIENT_ID,EGFR_PROTEIN,EGFR_RNA
C3L-00001,28.1928745547492,17.07
C3L-00009,25.2195852713392,11.86
C3L-00080,25.2388034634108,12.58
C3L-00083,25.0415832172602,10.94
C3L-00093,24.4695108198644,12.78
C3L-00094,24.7383165786791,12.28
C3L-00095,24.9813336570897,12.34
C3L-00140,25.030301878115,12.47
C3L-00144,25.5229505272406,13.26
C3L-00263,25.2077115074721,12.3
C3L-00279,25.7485218030559,13.15
C3L-00368,25.8287616618409,13.59
C3L-00412,24.9982671311309,11.65
C3L-00422,25.5854863398615,13.28
C3L-00510,25.1276540810189,13.11
C3L-00604,25.5789469370576,13.28
C3L-00893,25.535569904301,13.81
C3L-00913,25.0545503955683,11.34
C3L-00973,24.89454976491,11.81
C3L-01330,25.4858764937843,13.65
C3L-01632,24.9891486517818,11.41
C3L-01682,25.3644515302173,13.05
C3L-01683,24.5714842659513,11.65
C3L-01862,24.8657895228368,11.44
C3L-01889,25.492147508708,12.88
C3L-01890,25.1959125801797,12.16
C3L-01924,26.0774438258352,13.49
C3L-02219,26.9307217620976,13.56
C3L-02345,24.8007349321607,12.12
C3L-02348,25.2410354113575,12.62
C3L-02350,25.0004800680721,11.75
C3L-02365,25.8407891861086,13.51
C3L-02508,24.9253582626231,11.06
C3L-02549,25.5473840840909,12.17
C3N-00167,25.8302570918315,14.29
C3N-00169,26.209111897473,13.59
C3N-00175,25.8620795992577,13.63
C3N-00180,25.6285355522037,12.45
C3N-00199,26.5569262633047,14.87
C3N-00203,25.7426584106461,12.68
C3N-00217,24.9492776634389,10.69
C3N-00223,25.7043818597271,13.17
C3N-00293,25.5681915327736,12.86
C3N-00294,26.3535539994835,14.21
C3N-00433,24.7488290292835,11.77
C3N-00546,26.5493584527283,15.11
C3N-00547,25.5763653447642,12.63
C3N-00549,24.877413478776,8.77
C3N-00550,25.5427290588497,13.03
C3N-00551,25.8130418993541,13.61
C3N-00552,26.1295411312732,12.96
C3N-00556,25.9072613809423,13.61
C3N-00559,26.1518216848455,14.87
C3N-00560,24.5289887737447,9.99
C3N-00572,25.6238341943003,13.01
C3N-00574,27.194333921035,15.59
C3N-00578,26.9337410983496,15.08
C3N-00579,25.6656738723878,13.29
C3N-00580,26.1592661355895,13.57
C3N-00704,26.121155134845,13.88
C3N-00737,24.9448217406697,12.0
C3N-00738,25.0238206175351,11.93
C3N-00959,25.0737200585985,11.96
C3N-01016,25.292537531081,11.43
C3N-01021,25.6077934875998,13.23
C3N-01023,24.8365551759637,11.88
C3N-01024,25.0245566740671,12.42
C3N-01030,25.8151951647821,13.19
C3N-01071,24.8046170557369,9.46
C3N-01072,25.8027200760202,13.5
C3N-01074,25.7077462374607,12.21
C3N-01405,25.1491148348766,13.29
C3N-01410,25.4636016577533,12.38
C3N-01413,25.5106660402709,13.44
C3N-01414,25.1925911500859,11.96
C3N-01415,27.1873355673688,14.53
C3N-01416,26.1477894762281,13.74
C3N-01488,25.8924374777076,13.3
C3N-01489,25.3649592833841,12.87
C3N-01799,24.9735254804085,13.19
C3N-01823,25.1618930074769,12.65
C3N-01842,24.9959492310859,11.97
C3N-02000,26.195880435536,14.25
C3N-02002,25.7553689783406,13.84
C3N-02003,25.5074766299989,12.58
C3N-02067,26.742501294079,14.44
C3N-02087,25.950541759832,13.93
C3N-02089,25.0394018917068,11.9
C3N-02145,25.9823094500627,13.7
C3N-02149,25.0390730769136,11.59
C3N-02155,27.537751974952,16.33
C3N-02158,25.1952649524321,12.97
C3N-02379,26.8884727721476,14.99
C3N-02380,25.7880672262256,13.6
C3N-02421,26.7503303999458,15.34
C3N-02422,25.833288538483,12.65
C3N-02423,25.9719108078131,13.68
C3N-02424,25.4180302519632,13.17
C3N-02433,25.236228469771,13.45
C3N-02529,26.5451569583962,15.02
C3N-02572,26.9646294347872,14.01
C3N-02582,27.2192270299591,15.53
C3N-02586,26.0954045045356,15.11
C3N-02587,25.6811558585803,12.74
C3N-02588,25.5225009435601,12.66
C3N-02729,25.9227866754068,14.3
C3L-00001.N,25.645505942,11.93
C3L-00009.N,25.1578635702215,12.32
C3L-00080.N,25.1678434441699,12.48
C3L-00083.N,25.6319205805467,12.51
C3L-00093.N,25.0044638361227,12.72
C3L-00094.N,25.4381093927697,12.83
C3L-00095.N,25.5095632276869,12.82
C3L-00140.N,25.3724593763109,12.49
C3L-00144.N,25.3657690021424,12.48
C3L-00263.N,25.253456431403,12.02
C3L-00279.N,25.3348053234048,12.58
