patient_id,EGFR_RNA,cohort,batch_domain
C3L-00412,11.65,CPTAC,CPTAC
C3L-00422,13.28,CPTAC,CPTAC
C3L-00510,13.11,CPTAC,CPTAC
C3L-00604,13.28,CPTAC,CPTAC
C3L-00893,13.81,CPTAC,CPTAC
C3L-00913,11.34,CPTAC,CPTAC
C3L-00973,11.81,CPTAC,CPTAC
C3L-01330,13.65,CPTAC,CPTAC
C3L-01632,11.41,CPTAC,CPTAC
C3L-01682,13.05,CPTAC,CPTAC
C3L-01683,11.65,CPTAC,CPTAC
C3L-01862,11.44,CPTAC,CPTAC
C3L-01889,12.88,CPTAC,CPTAC
C3L-01890,12.16,CPTAC,CPTAC
C3L-01924,13.49,CPTAC,CPTAC
C3L-02219,13.56,CPTAC,CPTAC
C3L-02345,12.12,CPTAC,CPTAC
C3L-02348,12.62,CPTAC,CPTAC
C3L-02350,11.75,CPTAC,CPTAC
C3L-02365,13.51,CPTAC,CPTAC
C3L-02508,11.06,CPTAC,CPTAC
C3L-02549,12.17,CPTAC,CPTAC
C3N-00167,14.29,CPTAC,CPTAC
C3N-00169,13.59,CPTAC,CPTAC
C3N-00175,13.63,CPTAC,CPTAC
C3N-00180,12.45,CPTAC,CPTAC
C3N-00199,14.87,CPTAC,CPTAC
C3N-00203,12.68,CPTAC,CPTAC
C3N-00217,10.69,CPTAC,CPTAC
C3N-00223,13.17,CPTAC,CPTAC
C3N-00293,12.86,CPTAC,CPTAC
C3N-00294,14.21,CPTAC,CPTAC
C3N-00433,11.77,CPTAC,CPTAC
C3N-00545,13.06,CPTAC,CPTAC
C3N-00546,15.11,CPTAC,CPTAC
C3N-00547,12.63,CPTAC,CPTAC
C3N-00549,8.77,CPTAC,CPTAC
C3N-00550,13.03,CPTAC,CPTAC
C3N-00551,13.61,CPTAC,CPTAC
C3N-00552,12.96,CPTAC,CPTAC
C3N-00556,13.61,CPTAC,CPTAC
C3N-00559,14.87,CPTAC,CPTAC
C3N-00560,9.99,CPTAC,CPTAC
C3N-00572,13.01,CPTAC,CPTAC
C3N-00574,15.59,CPTAC,CPTAC
C3N-00578,15.08,CPTAC,CPTAC
C3N-00579,13.29,CPTAC,CPTAC
C3N-00580,13.57,CPTAC,CPTAC
C3N-00704,13.88,CPTAC,CPTAC
C3N-00737,12.0,CPTAC,CPTAC
C3N-00738,11.93,CPTAC,CPTAC
C3N-00959,11.96,CPTAC,CPTAC
C3N-01016,11.43,CPTAC,CPTAC
C3N-01021,13.23,CPTAC,CPTAC
C3N-01023,11.88,CPTAC,CPTAC
